SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
70,main_file_0.p21.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
71,main_file_0.p20.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
72,main_file_0.p20.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
73,main_file_0.p20.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
74,main_file_0.p19.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
75,main_file_0.p19.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
76,main_file_0.p19.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
77,main_file_0.p18.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
78,main_file_0.p18.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
79,main_file_0.p18.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|dout_inferred_clock[3],main_file_0.module_k_inst.y_1[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
80,main_file_0.p17.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
81,main_file_0.p17.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
82,main_file_0.p17.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
83,main_file_0.p16.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
84,main_file_0.p16.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
85,main_file_0.p16.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
86,main_file_0.p15.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
87,main_file_0.p15.delay_done,clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
88,main_file_0.p15.counterValue[6:0],clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
89,main_file_0.p14.fault_sig,clkdiv|a1_inferred_clock,priority_encoder_8_3|pri_enc_un91_din_inferred_clock,main_file_0.module_k_inst.y_1[15:8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
